Niveau,Code,Titres_de_classes,Nom_du_type_d_element_Francais,Description_d_element_Francais
2,RDF101,Mathématiques et statistique,Exclusion(s),"utilisation des techniques statistiques et mathématiques pour les tests psychologiques (psychométrie)  (Voir RDF5010116 Conception et analyse méthodologiques en psychologie, et psychométrie)"
2,RDF101,Mathématiques et statistique,Exclusion(s),applications des mathématiques et statistiques en bio-informatique  (Voir RDF10208 Bioinformatique)
2,RDF101,Mathématiques et statistique,Exclusion(s),applications des mathématiques et statistiques en biologie de l'évolution  (Voir RDF10605 Biologie de l'évolution)
2,RDF101,Mathématiques et statistique,Exclusion(s),applications des mathématiques et statistiques en physique classique  (Voir RDF10304 Physique classique)
2,RDF101,Mathématiques et statistique,Exclusion(s),applications des mathématiques et statistiques en informatique et sciences de l'information  (Voir RDF102 Informatique et systèmes d'information)
2,RDF101,Mathématiques et statistique,Exclusion(s),applications des mathématiques et statistiques en criminologie  (Voir RDF50902 Criminologie)
2,RDF101,Mathématiques et statistique,Exclusion(s),applications des mathématiques et statistiques en écologie  (Voir RDF1060311 Modèles mathématiques et statistiques appliqués à l'écologie)
2,RDF101,Mathématiques et statistique,Exclusion(s),applications des mathématiques et statistiques aux sciences économiques  (Voir RDF50201 Sciences économiques)
2,RDF101,Mathématiques et statistique,Exclusion(s),"applications des mathématiques et statistiques en communication quantique  (Voir RDF1030604 Information, informatique et communications quantiques)"
2,RDF101,Mathématiques et statistique,Exclusion(s),"applications des techniques statistiques associées aux sciences médicales, de la santé et de la vie  (Voir RDF30 Sciences médicales, de la santé et de la vie)"
2,RDF101,Mathématiques et statistique,Exclusion(s),mathématiques computationnelles  (Voir RDF10202 Informatique théorique et mathématiques computationnelles)
2,RDF101,Mathématiques et statistique,Exclusion(s),géodésie  (Voir RDF1050408 Géodésie)
2,RDF101,Mathématiques et statistique,Exclusion(s),histoire et philosophie des mathématiques et statistiques  (Voir RDF6030307 Histoire et philosophie des sciences (y compris les perspectives non historiques en philosophie des sciences))
2,RDF101,Mathématiques et statistique,Exclusion(s),"curriculum, pédagogie et didactique en mathématiques et numératie  (Voir RDF5030208 Curriculum, pédagogie et didactique en mathématiques et numératie)"
2,RDF101,Mathématiques et statistique,Exclusion(s),mathématiques et statistiques associées avec les sciences physiques  (Voir RDF103 Sciences physiques)
2,RDF101,Mathématiques et statistique,Exclusion(s),méthodes quantitatives en foresterie  (Voir RDF4010414 Méthodes quantitatives en foresterie)
2,RDF101,Mathématiques et statistique,Exclusion(s),mécanique statistique associée aux processus chimiques  (Voir RDF1040704 Mécanique statistique en chimie)
2,RDF101,Mathématiques et statistique,Exclusion(s),mécanique statistique associée à la chimie (chimio-informatique)  (Voir RDF1040504 Chimio-informatique et relation quantitative structure-activité)
