Niveau,Structure_hierarchique,Code,Titres_de_classes,Definitions_de_la_classe
1,Division,RDF10,Sciences naturelles,"Cette division comprend la recherche et le développement expérimental en sciences naturelles. Les sciences naturelles réfèrent aux disciplines scientifiques relevant de la compréhension, de l'exploration ou de l'évolution du monde matériel, dans le domaine des sciences naturelles, lequel inclut les mathématiques et la statistique; l'informatique et les sciences de l'information; les sciences physiques; les sciences chimiques; les sciences de la terre et de l'environnement; les sciences biologiques; et les autres sciences naturelles. La recherche consiste en l'investigation systématique par l'expérimentation ou l'analyse, afin de réaliser un progrès scientifique ou technologique, comme l'acquisition de nouvelles connaissances sur les fondements des phénomènes et des faits observables. Le développement expérimental consiste à réaliser de nouveaux biens, services, systèmes, méthodes ou procédés, ou d'améliorer substantiellement les biens, services, systèmes, méthodes ou procédés existants."
2,Groupe,RDF101,Mathématiques et statistique,Ce groupe comprend la recherche et le développement expérimental en mathématiques et statistiques.
3,Classe,RDF10101,Mathématiques pures,Cette classe comprend la recherche et le développement expérimental en mathématiques pures.
4,Sous-classe (Domaine),RDF1010101,Algèbre,Cette sous-classe comprend la recherche et le développement expérimental en algèbre.
4,Sous-classe (Domaine),RDF1010102,Théorie des nombres,Cette sous-classe comprend la recherche et le développement expérimental en théorie des nombres.
4,Sous-classe (Domaine),RDF1010103,Géométrie algébrique et différentielle,Cette sous-classe comprend la recherche et le développement expérimental en géométrie algébrique et différentielle.
4,Sous-classe (Domaine),RDF1010104,Géométrie métrique et fractale,Cette sous-classe comprend la recherche et le développement expérimental en géométrie métrique et fractale.
4,Sous-classe (Domaine),RDF1010105,"Théorie des catégories, théorie K, algèbre homologique","Cette sous-classe comprend la recherche et le développement expérimental en théorie des catégories, théorie K, algèbre homologique."
4,Sous-classe (Domaine),RDF1010106,Combinatoire et mathématiques discrètes,Cette sous-classe comprend la recherche et le développement expérimental en combinatoire et mathématiques discrètes.
4,Sous-classe (Domaine),RDF1010107,Théorie des groupes et généralisations,Cette sous-classe comprend la recherche et le développement expérimental en théorie des groupes et généralisations.
4,Sous-classe (Domaine),RDF1010108,"Groupes de Lie, analyse harmonique et analyse de Fourier","Cette sous-classe comprend la recherche et le développement expérimental en groupes de Lie, analyse harmonique et analyse de Fourier."
4,Sous-classe (Domaine),RDF1010109,"Fondements, logique et théorie des ensembles en mathématique","Cette sous-classe comprend la recherche et le développement expérimental en fondements, logique et théorie des ensembles en mathématique."
4,Sous-classe (Domaine),RDF1010110,Analyse moderne en mathématique,Cette sous-classe comprend la recherche et le développement expérimental en analyse moderne en mathématique.
4,Sous-classe (Domaine),RDF1010111,Équations différentielles et équations intégrales en mathématiques pures,Cette sous-classe comprend la recherche et le développement expérimental avec l'analyse classique en mathématiques pures.
4,Sous-classe (Domaine),RDF1010112,Analyse classique en mathématiques pures,Cette sous-classe comprend la recherche et le développement expérimental en analyse classique en mathématiques pures.
4,Sous-classe (Domaine),RDF1010113,Topologie,Cette sous-classe comprend la recherche et le développement expérimental en topologie.
