Niveau,Code,Titres_de_classes,Nom_du_type_d_element_Francais,Description_d_element_Francais
1,RDS101,Exploration et exploitation du milieu terrestre,Exclusion(s),conversation de l'énergie et l'utilisation de l'efficacité énergétique  (Voir RDS10506 Économie d'énergie et efficacité énergétique)
1,RDS101,Exploration et exploitation du milieu terrestre,Exclusion(s),contrôle et traitement des maladies humaines à l'intérieur des frontières d'un pays  (Voir RDS107 Santé)
1,RDS101,Exploration et exploitation du milieu terrestre,Exclusion(s),éthique environnementale  (Voir RDS11007 Patrimoine (y compris la culture autochtone))
1,RDS101,Exploration et exploitation du milieu terrestre,Exclusion(s),aspects de l'élevage et de la production d'animaux et des produits primaires d'origine animale  (Voir RDS108 Agriculture (y compris les pêches et la foresterie))
1,RDS101,Exploration et exploitation du milieu terrestre,Exclusion(s),"aspects de la production des cultures agricoles, des plantes et des produits primaires d'origine végétale  (Voir RDS108 Agriculture (y compris les pêches et la foresterie))"
1,RDS101,Exploration et exploitation du milieu terrestre,Exclusion(s),"questions ayant trait à la planification rurale, régionale et urbaine des travaux de construction, y compris les études d'impacts environnementaux de nouveaux aménagements  (Voir RDS10401 Planification de travaux de construction)"
2,RDS10101,Exploration minière,Exemple(s) illustratif(s),exploration de minerais de métaux communs 
2,RDS10101,Exploration minière,Exemple(s) illustratif(s),exploration de diamants 
2,RDS10101,Exploration minière,Exemple(s) illustratif(s),exploration du minerai de fer 
2,RDS10101,Exploration minière,Exemple(s) illustratif(s),exploration du minerai de potasse 
2,RDS10101,Exploration minière,Exemple(s) illustratif(s),exploration de minerais de métaux précieux 
2,RDS10101,Exploration minière,Exemple(s) illustratif(s),exploration de minerais de métaux rares 
2,RDS10101,Exploration minière,Tous les exemples,exploration de minerais de métaux communs 
2,RDS10101,Exploration minière,Tous les exemples,exploration de diamants 
2,RDS10101,Exploration minière,Tous les exemples,exploration du minerai de fer 
2,RDS10101,Exploration minière,Tous les exemples,exploration du minerai de potasse 
2,RDS10101,Exploration minière,Tous les exemples,exploration de minerais de métaux précieux 
2,RDS10101,Exploration minière,Tous les exemples,exploration de minerais de métaux rares 
2,RDS10101,Exploration minière,Exclusion(s),exploitation minière et extraction des ressources énergétiques  (Voir RDS10102 Exploration des ressources énergétiques)
2,RDS10101,Exploration minière,Exclusion(s),activités scientifiques ayant trait à la lutte contre la pollution et d'autres activités de protection de l'environnement  (Voir RDS102 Protection de l'environnement)
2,RDS10102,Exploration des ressources énergétiques,Exemple(s) illustratif(s),exploration du charbon 
2,RDS10102,Exploration des ressources énergétiques,Exemple(s) illustratif(s),exploration géothermique 
2,RDS10102,Exploration des ressources énergétiques,Exemple(s) illustratif(s),exploration pétrolière et gazière 
2,RDS10102,Exploration des ressources énergétiques,Exemple(s) illustratif(s),exploration des schistes bitumineux et des sables bitumineux 
2,RDS10102,Exploration des ressources énergétiques,Exemple(s) illustratif(s),exploration d'uranium 
2,RDS10102,Exploration des ressources énergétiques,Tous les exemples,exploration du charbon 
2,RDS10102,Exploration des ressources énergétiques,Tous les exemples,exploration géothermique 
2,RDS10102,Exploration des ressources énergétiques,Tous les exemples,exploration pétrolière et gazière 
2,RDS10102,Exploration des ressources énergétiques,Tous les exemples,exploration des schistes bitumineux et des sables bitumineux 
