Level,Hierarchical_structure,Code,Class_title,Class_definition
1,Division,RDF10,Natural sciences,"This division comprises research and experimental development in natural sciences. Natural sciences refer to scientific disciplines concerned with understanding, exploring or developing the natural world, in the field of natural sciences, which includes mathematics and statistics; computer and information sciences; physical sciences; chemical sciences; earth and related environmental sciences; biological sciences; and other natural sciences. Research consists of systematic investigation carried by means of experiment or analysis to achieve a scientific or technological advance such as acquiring new knowledge of the underlying foundation of phenomena and observable facts. Experimental development consists of new or substantially improved goods, services, systems, methods or processes."
2,Group,RDF101,Mathematics and statistics,This group comprises research and experimental development in mathematics and statistics.
3,Class,RDF10101,Pure mathematics,This class comprises research and experimental development in pure mathematics.
4,Subclass (Field),RDF1010101,Algebra,This subclass comprises research and experimental development in algebra.
4,Subclass (Field),RDF1010102,Number theory,This subclass comprises research and experimental development in number theory.
4,Subclass (Field),RDF1010103,Algebraic and differential geometry,This subclass comprises research and experimental development in algebraic and differential geometry.
4,Subclass (Field),RDF1010104,Metric and fractal geometry,This subclass comprises research and experimental development in metric and fractal geometry.
4,Subclass (Field),RDF1010105,"Category theory, K theory, homological algebra","This subclass comprises research and experimental development in category theory, K theory, homological algebra."
4,Subclass (Field),RDF1010106,Combinatorics and discrete mathematics,This subclass comprises research and experimental development in combinatorics and discrete mathematics.
4,Subclass (Field),RDF1010107,Group theory and generalisations,"This subclass comprises research and experimental development in lie groups, harmonic and Fourier analysis."
4,Subclass (Field),RDF1010108,"Lie groups, harmonic and Fourier analysis","This subclass comprises research and experimental development in mathematical logic, set theory, lattices and universal algebra."
4,Subclass (Field),RDF1010109,"Foundations, logic, and set theory of mathematics","This subclass comprises research and experimental development in foundations, logic, and set theory of mathematics."
4,Subclass (Field),RDF1010110,Modern analysis in mathematics,This subclass comprises research and experimental development in modern analysis in mathematics.
4,Subclass (Field),RDF1010111,Differential equations and integral equations in pure mathematics,This subclass comprises research and experimental development in differential equations and integral equations in pure mathematics.
4,Subclass (Field),RDF1010112,Classical analysis in pure mathematics,This subclass comprises research and experimental development in classical analysis in pure mathematics.
4,Subclass (Field),RDF1010113,Topology,This subclass comprises research and experimental development in topology.
4,Subclass (Field),RDF1010199,"Pure mathematics, n.e.c.","This subclass comprises research and experimental development in pure mathematics, n.e.c."
3,Class,RDF10102,Applied mathematics,This class comprises research and experimental development in applied mathematics.
4,Subclass (Field),RDF1010201,Approximation theory and asymptotic methods,This subclass comprises research and experimental development in approximation theory and asymptotic methods.
4,Subclass (Field),RDF1010202,Integral equations in applied mathematics,This subclass comprises research and experimental development in integral equations in applied mathematics.
4,Subclass (Field),RDF1010203,Partial and ordinary differential equations,This subclass comprises research and experimental development in partial and ordinary differential equations.
4,Subclass (Field),RDF1010204,Mathematical modelling and simulation,This subclass comprises research and experimental development in mathematical modelling and simulation.
4,Subclass (Field),RDF1010205,Computational fluid mechanics,This subclass comprises research and experimental development in computational fluid mechanics.
4,Subclass (Field),RDF1010206,Mathematical biology,This subclass comprises research and experimental development in mathematical biology.
4,Subclass (Field),RDF1010207,"Calculus of variations, systems theory and control theory","This subclass comprises research and experimental development in calculus of variations, systems theory and control theory."
4,Subclass (Field),RDF1010208,Dynamical systems in applications,This subclass comprises research and experimental development in dynamical systems in applications.
4,Subclass (Field),RDF1010209,Mathematical operations research,This subclass comprises research and experimental development in mathematical operations research.
4,Subclass (Field),RDF1010210,Theoretical and applied mechanics,This subclass comprises research and experimental development in theoretical and applied mechanics.
